location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE13016810158,5,,,,,5
YE13017110101,,,5,,,5
YE13020110103,,,5,,,5
YE13020110107,,,5,,,5
YE13020110105,,,,,5,5
YE13025910101,,,5,,10,15
YE13021010101,5,,,,,5
YE13021510103,,,5,,,5
YE13020510106,5,,,,,5
YE13020510108,5,,,,,5
YE13020310102,5,,,,,5
YE13020210114,,,,15,,15
YE13021510108,,,,,5,5
YE13020410103,,,5,,,5
YE13021310104,,,5,,,5
YE13020110102,5,,,,,5
YE29033110100,,,5,,,5
YE29032910100,5,,,,,5
YE29032710100,,,5,,,5
YE29032810800,,,,,10,10
YE29032210300,10,,,,,10
YE29032100100,,,,,5,5
YE29032110200,,,10,,,10
YE29033010400,5,,,,,5
YE29033010500,5,,,,,5
YE29062210500,,,5,,,5
YE29062210100,5,,,,,5
YE29062111200,10,,,,,10
YE29062313500,,,5,,,5
YE29062312300,5,,,,,5
YE29062311600,5,,,,,5
YE29062311200,,,5,,,5
YE29042411000,,,5,,,5
YE29042210100,5,,,,,5
YE29042210500,,,5,,5,10
YE29042210200,,,,,5,5
YE29042210400,,,5,,,5
YE29042210700,5,,,,,5
YE29042100101,5,,,,10,15
YE29042110600,,,,,5,5
YE29042510300,5,,,,,5
YE29042510400,,,5,,,5
YE29042510100,5,,,,,5
YE13081100130,,,5,,,5
YE29152110400,,,5,,5,10
YE29152110100,5,,,,,5
YE29152100130,,,5,,,5
YE29152100140,,,5,,,5
YE29152100150,,,5,,,5
YE29152110200,,,,,10,10
YE29152100101,45,,,,65,110
YE29142400100,5,,,,,5
YE29142510500,5,,,,,5
YE29143110100,,,5,,,5
YE29142910600,,,5,,,5
YE29142910100,5,,,,,5
YE29142110800,5,,,,,5
YE29142811600,,,5,,,5
YE29143010600,5,,,,,5
YE29132412000,,,5,,,5
YE29132312000,5,,,,,5
YE29132311800,,,5,,,5
YE29132311400,5,,5,,,10
YE29132310700,,,5,,,5
YE29132210400,5,,,,,5
YE29132110500,10,,,,,10
YE29202510100,,,5,,,5
YE29202311600,,,5,,,5
YE29202310800,,,5,,,5
YE29202310100,5,,,,,5
YE29202410200,5,,,,,5
YE29202410300,5,,,,,5
YE29202210100,5,,,,,5
YE29202211100,,,5,,,5
YE29202211400,5,,,,,5
YE29092311400,10,,,,,10
YE29092310800,5,,5,,,10
YE29092110200,5,,,,,5
YE29092110600,5,,,,,5
YE29092210900,,,5,,,5
YE29092210400,,,5,,,5
YE29092210200,,,5,,,5
YE29082110300,,,5,,,5
YE29082210600,5,,,,,5
YE29082211200,5,,,,,5
YE29082311000,5,,,,,5
YE29082310300,5,,,,,5
YE29082310400,,,5,,,5
YE29082310200,5,,,,,5
YE29082410500,,,5,,,5
YE29082411500,,,5,,,5
YE29012111500,,,5,,,5
YE29012710500,5,,,,,5
YE29012710100,,,5,,,5
YE29012710200,,,5,,,5
YE29012910700,,,5,,,5
YE29012810200,5,,,,,5
YE29012610200,5,,,,,5
YE29022411000,5,,,,,5
YE29023110300,,,5,,,5
YE29023510100,,,,,5,5
YE29152100160,,,5,,,5
YE29022100101,5,,,,,5
YE29023310100,5,,,,10,15
YE29023410100,,,,,5,5
YE29022210900,,,,,5,5
YE29022211200,,,5,,5,10
YE29023010300,5,,,,,5
YE29023211000,5,,,,,5
YE29182211400,5,,5,,,10
YE29182210700,,,,,5,5
YE29182211300,5,,,,,5
YE29182210100,,,,,5,5
YE29182310700,,,,,5,5
YE29182310800,5,,,,,5
YE29182311000,,,,,5,5
YE29182310200,,,5,,,5
YE29182310100,,,,,10,10
YE29182311300,,,,,5,5
YE29182110600,,,5,,,5
YE29182110700,5,,,,,5
YE29182110300,5,,,,10,15
YE29122311200,5,,,,,5
YE29122410400,,,,,5,5
YE29122410200,,,5,,,5
YE29122110100,,,5,,10,15
YE29122111000,,,5,,,5
YE29122111100,5,,,,5,10
YE29122111200,5,,,,,5
YE29122512900,,,5,,,5
YE29122512100,5,,,,,5
YE29192100101,15,,,,,15
YE29192111300,,,5,,,5
YE29022100130,,,5,,,5
YE29192410600,5,,5,,,10
YE29192510600,,,5,,,5
YE29192310600,5,,,,,5
YE29102210500,,,5,,,5
YE29102210400,5,,,,,5
YE29102110300,,,5,,,5
YE29102310200,5,,,,,5
YE29102400101,5,,,,,5
YE29102410600,5,,,,,5
YE29102410200,5,,5,,,10
YE29102410300,,,5,,,5
YE29162912000,5,,,,,5
YE29162910900,5,,5,,,10
YE29163111400,,,,,10,10
YE29163210100,5,,,,,5
YE29163010500,5,,,,,5
YE29162110300,5,,5,,,10
YE29162110600,,,5,,,5
YE29162111300,,,5,,,5
YE29162400101,,,,,5,5
YE29162411700,,,,,5,5
YE29112310100,5,,10,,,15
YE29112110900,5,,,,,5
YE29192100130,,,5,,,5
YE29112200101,15,,,,,15
YE29112410300,,,5,,,5
YE29052213900,5,,,,,5
YE29052211300,,,5,,,5
YE29052212200,,,5,,,5
YE29052210300,5,,,,,5
YE29052311100,5,,,,,5
YE29052414700,,,5,,,5
YE29052412800,,,5,,,5
YE29072210700,5,,,,,5
YE29072210100,5,,,,,5
YE29072314700,5,,,,,5
YE29072312100,,,5,,,5
YE29072310100,5,,,,,5
YE29072112000,,,5,,,5
YE29072111800,,,5,,,5
YE29072111500,5,,,,,5
YE29172210600,,,,,10,10
YE29172410200,5,,,,,5
YE29172410100,,,10,,,10
YE29172510600,5,,,,,5
YE29172511600,5,,,,,5
YE29172511300,,,5,,,5
YE29112200130,,,5,,,5
YE29172300101,10,,,,5,15
YE20013110400,,,10,,,10
YE20013211000,5,,,,,5
YE20013210800,5,,,,,5
YE20012111400,5,,,,,5
YE20013710200,5,,,,,5
YE20012811000,,,5,,,5
YE20012811100,,,5,,,5
YE20013610400,,,5,,,5
YE20014710100,5,,,,,5
YE20123310100,5,,,,,5
YE20122110200,5,,,,,5
YE20123610300,,,5,,,5
YE20123610100,,,10,,,10
YE20122711100,,,5,,,5
YE20122810100,,,5,,,5
YE20122910400,5,,,,,5
YE20123410100,5,,,,,5
YE20102112000,5,,,,,5
YE20102110600,5,,,,,5
YE20102610100,,,5,,,5
YE20102610400,5,,,,,5
YE20102310500,,,5,,,5
YE20102213700,,,5,,,5
YE20102212200,5,,,,,5
YE20102710300,,15,,,,15
YE20102411800,,,5,,,5
YE20112500101,5,,,,,5
YE20112911100,,,5,,,5
YE20112910700,,,5,,,5
YE20112912200,5,,,,,5
YE20113310100,,,5,,,5
YE20114910200,5,,,,,5
YE20114510200,5,,,,,5
YE20114511400,5,,,,,5
YE20114510300,,,5,,,5
YE20082100101,55,0,0,15,15,85
YE20080800108,,,5,,,5
YE20080900103,,,5,,,5
YE20082100109,,,5,,,5
YE20080600104,,,5,,,5
YE20080400102,,,5,,,5
YE20082210200,,,5,,,5
YE20033610100,5,,,,,5
YE20033510500,5,,,,,5
YE20033713300,,,5,,,5
YE20033711300,,,5,,,5
YE20033210600,,,5,,,5
YE20033210800,5,,,,,5
YE20032710200,5,,5,,,10
YE20032610200,,,5,,,5
YE29172300130,,,5,,,5
YE20022110500,5,,,,,5
YE20022110100,5,,,,,5
YE20022210600,,,5,,,5
YE20022211000,5,,5,,,10
YE20022210500,5,,,,,5
YE20022410700,5,,,,,5
YE20042210200,5,,,,,5
YE20043710300,,,5,,,5
YE20043010600,5,,,,,5
YE20043010500,5,,,,,5
YE20042810300,,,5,,,5
YE20043910200,5,,,,,5
YE20043911100,,,5,,,5
YE20042110700,,,5,,,5
YE20042111100,,,5,,,5
YE20092110700,5,,5,,,10
YE20092110200,,,10,,,10
YE20092210400,,,5,,,5
YE20092310600,,,5,,,5
YE20092410400,5,,,,,5
YE20092410600,5,,,,,5
YE20092410100,5,,,,,5
YE20054011500,,,,,5,5
YE20054011600,,,,,5,5
YE20055310500,5,,,,,5
YE20054210300,,,,,15,15
YE20054710500,,,,,5,5
YE20054711000,,,5,,,5
YE20055910400,,,,,5,5
YE20055910100,,,,,5,5
YE20055910300,,,,,5,5
YE20056110200,,,,,5,5
YE20056110500,,,,,10,10
YE20056110100,,,,,5,5
YE20056110400,,,,,5,5
YE20054410600,,,5,,,5
YE20057310700,5,,,,,5
YE20054811500,,,,,10,10
YE20054810100,,,,,10,10
YE20055410300,5,,,,,5
YE20055710200,5,,,,,5
YE20056010300,,,5,,,5
YE20052110200,,,,,5,5
YE20052110400,,,,,5,5
YE20052110300,,,,,5,5
YE20052100100,,,,,10,10
YE20052110500,,,,,5,5
YE20054610800,,,,,10,10
YE20054610500,,,,,5,5
YE20056311100,,,5,,,5
YE20054913600,,,5,,,5
YE20056210100,,,,,20,20
YE20056211100,,,,,5,5
YE20056210200,,,,,5,5
YE20056210300,,,,,5,5
YE20056210400,,,,,15,15
YE20053910100,5,,,,,5
YE20066411300,5,,,,,5
YE20066110400,5,,,,,5
YE20067110100,,,5,,,5
YE20066610200,,,5,,,5
YE20066310400,,,5,,,5
YE20063310200,5,,5,,,10
YE20065810400,10,,,,,10
YE20063410900,,,5,,,5
YE20073012600,,,5,,,5
YE20076010700,5,,,,,5
YE20076011200,5,,,,,5
YE20075211300,5,,,,,5
YE20072614200,,,5,,,5
YE20072310800,5,,,,,5
YE20074410100,5,,,,,5
YE20076910100,5,,,,,5
YE20077010800,,,5,,,5
YE20077010100,5,,,,,5
YE20077011000,5,,5,,,10
YE20075610100,,,5,,,5
YE20075610200,5,,,,,5
YE19142100101,,,,,5,5
YE19142100102,,,,,5,5
YE19142100103,,,,,5,5
YE19142110400,,,5,,,5
YE19142110600,,,5,,,5
YE19142111900,,,5,,,5
YE19222130200,,,5,,,5
YE19222214200,,,5,,,5
YE19222215800,,,5,,,5
YE19062200101,5,,,,,5
YE19062210200,,,5,,,5
YE19062181900,20,,5,,,25
YE19062282600,,,5,,,5
YE19062181800,15,,,,,15
YE19062282800,5,,,,,5
YE19262121500,10,,,,,10
YE19262120800,5,,,,,5
YE19262118900,,,,,15,15
YE19262115700,,,5,,,5
YE19262212900,,,5,,,5
YE19262121200,,,5,,,5
YE19272100102,,,,25,,25
YE19272110700,5,,,,5,10
YE19272100104,25,0,0,5,15,45
YE19272100103,,,,,10,10
YE19272100101,,,,,5,5
YE20022100130,,15,,,,15
YE19272100130,,,5,,,5
YE19272100113,,,,50,,50
YE19272100140,,,5,,,5
YE19272100150,,,5,,,5
YE19272100115,5,,,,,5
YE19272110200,,,,,5,5
YE19272100118,5,,,70,25,100
YE19272110100,,,,,5,5
YE19032100100,,,10,,,10
YE19032181100,,,5,,,5
YE19072223500,5,,,,,5
YE19072228000,5,,,,,5
YE19072116500,,,5,,,5
YE19072134200,,,5,,,5
YE19072227600,5,,,,,5
YE19072116300,,,5,,,5
YE19072114800,,,5,,,5
YE19212118400,,,5,,,5
YE19212118300,,,5,,,5
YE19212119100,,,5,,,5
YE19132100101,,,5,,,5
YE19132113000,,,5,,,5
YE19132111300,,,5,,,5
YE19132100301,10,,,,10,20
YE19132110700,,,5,,5,10
YE19132110300,5,,,,,5
YE19122110200,,,5,,,5
YE19122114400,,,5,,,5
YE19122115300,,,5,,,5
YE19152200202,,,,,15,15
YE19272100160,,,5,,,5
YE19152100101,15,0,0,25,35,75
YE19152100170,,,5,,,5
YE19152100175,,,5,,,5
YE19152100180,,,5,,,5
YE19152112600,,,5,,,5
YE19252111400,,,,,5,5
YE19252110100,,,,,5,5
YE19252112100,,,5,,,5
YE19252111600,,,,,5,5
YE19252112200,,,,,5,5
YE19252111200,,,,,20,20
YE19252210600,,,,,5,5
YE19252210400,,,,,5,5
YE19252210100,15,,5,,5,25
YE19252280400,,,,,5,5
YE19252280100,,,,,5,5
YE19252210300,,,,,5,5
YE19252210200,,,,,5,5
YE19252210500,,,,,5,5
YE19252211200,,,5,,,5
YE19182210400,,,5,,,5
YE19182115500,,,10,,,10
YE19172100103,10,,,,15,25
YE19172115600,,,5,,,5
YE19172100301,5,,,,,5
YE19172215700,,,5,,,5
YE19172100302,,,,25,,25
YE19172210700,,,5,,,5
YE19162410100,,,5,,,5
YE19162410200,,,5,,,5
YE19162487300,,,5,,,5
YE19162412000,,,5,,,5
YE19052280200,,,5,,,5
YE19052117600,,,5,,,5
YE19052184500,,,5,,,5
YE19242280100,,,5,,,5
YE19242215700,,,5,,,5
YE19242117000,,,5,,,5
YE19242112800,15,,,,,15
YE19242113900,,,5,,,5
YE19282118800,,,5,,,5
YE19282112200,,,5,,,5
YE19282216000,,,5,,,5
YE19202110100,,,5,,,5
YE19202113000,,,5,,,5
YE19202112900,,,5,,,5
YE19012181000,,,5,,,5
YE19012185800,,,5,,,5
YE19012100101,15,0,5,0,0,20
YE19092217500,,,10,,,10
YE19092210300,,,5,,,5
YE19102121100,5,,,,,5
YE19102223200,5,,,,,5
YE19102200103,5,,,,,5
YE19102200106,,,,25,,25
YE19102100104,10,,,,,10
YE19102215700,,,5,,,5
YE19102218900,,,5,,,5
YE19102221400,,,5,,,5
YE19102220900,10,,,,,10
YE19082216200,,,5,,,5
YE19082211300,10,,,,,10
YE19082118800,,,5,,,5
YE19082200101,5,,,,,5
YE19082210500,,,5,,,5
YE19082122300,,,5,,,5
YE19112114900,5,,,,,5
YE19112217100,,,5,,,5
YE19152100185,,,5,,,5
YE19112100106,5,,,,,5
YE19112180500,,,5,,,5
YE19112100190,,,5,,,5
YE19112100107,5,0,5,0,0,10
YE19112211100,,,5,,,5
YE19022183300,,,5,,,5
YE19022100101,15,,,,,15
YE19022183200,,,10,,,10
YE19192218600,,,5,,,5
YE19192213400,,,5,,,5
YE19192212400,,,5,,,5
YE19192114500,,,5,,,5
YE19232112200,,,5,,,5
YE19232113300,,,5,,,5
YE19232210400,,,5,,,5
YE19042180100,,,5,,,5
YE19042181800,,,5,,,5
YE19042183100,,,5,,,5
YE17042612300,,,5,,,5
YE17042411900,5,,,,,5
YE17042412400,5,,,,,5
YE17042200201,0,0,5,0,45,50
YE17042200101,15,,,,115,130
YE17042114200,5,,,,,5
YE17042114000,5,,,,,5
YE17042113100,5,,,,,5
YE17042114100,5,,,,,5
YE17042112600,5,,,,,5
YE17042112100,,,5,,,5
YE17042121600,,,5,,,5
YE17042310800,5,,,,,5
YE17042713400,5,,,,,5
YE17042711700,5,,,,,5
YE17042511300,5,,,,,5
YE17042512800,10,,,,,10
YE17042510400,5,,,,,5
YE17042511900,5,,,,,5
YE17142211500,5,,,,,5
YE17142212500,,,5,,,5
YE17142211800,,,5,,,5
YE17142212700,5,,,,,5
YE17142310200,5,,,,,5
YE17142511100,,,5,,,5
YE17142111500,5,,,,,5
YE17142110100,5,,,,15,20
YE17142110300,,,5,,,5
YE17102310300,,,5,,,5
YE17102310400,,,5,,,5
YE17102210500,,,5,,,5
YE17102210100,5,,,,,5
YE17102210400,,,5,,15,20
YE17102110700,5,,,,,5
YE17102410400,5,,,,,5
YE17102411200,,,5,,,5
YE17102411800,5,,,,,5
YE17082111000,,,5,,,5
YE17082110600,,,5,,,5
YE17082810500,,,5,,,5
YE17082410100,10,,,,,10
YE17082410400,5,,,,,5
YE17082911400,,,5,,,5
YE17172212300,,,5,,,5
YE17172310600,,,5,,,5
YE17172311300,,,5,,,5
YE17172310100,,,5,,,5
YE17172310700,,,5,,,5
YE17172111100,10,,,,,10
YE17172100101,10,,,,,10
YE17152100101,15,,,,,15
YE19112100195,,,5,,,5
YE17152510700,,,5,,,5
YE17152510100,,,5,,,5
YE17152410200,5,,,,,5
YE17152212500,,,5,,,5
YE17152212700,5,,,,,5
YE17152210800,,,5,,,5
YE17162311200,5,,,,,5
YE17162310600,,,5,,,5
YE17162310100,5,,,,,5
YE17162110100,,,5,,,5
YE17162410500,,,5,,,5
YE17162410300,5,,,,,5
YE17162410700,,,5,,,5
YE17162210100,5,,,,,5
YE17253010100,,,5,,,5
YE17252500101,10,,,,,10
YE17252510600,,,5,,,5
YE17252510400,10,,,,,10
YE17252511000,,,5,,,5
YE17252110100,,,5,,,5
YE17252110700,,,5,,,5
YE17212200101,10,,,,,10
YE17212311200,,,5,,,5
YE17212311700,,,5,,,5
YE17212311800,,,5,,,5
YE17212411100,5,,5,,,10
YE17122213400,5,,,,,5
YE17122221100,5,,,,,5
YE17122216800,,,5,,,5
YE17122217000,5,,,,,5
YE17122314200,,,5,,,5
YE17122316700,,,5,,,5
YE17122312500,,,5,,,5
YE17122110200,5,,,,,5
YE17122116200,,,5,,,5
YE17122114300,5,,,,,5
YE17012412000,,,5,,,5
YE17012210700,,,5,,,5
YE17012210100,5,,,,,5
YE17012210300,,,5,,,5
YE17012313400,5,,,,,5
YE17012110500,5,,,,,5
YE17012111400,5,,,,,5
YE17012110900,5,,,,,5
YE17272210400,,,5,,,5
YE17272210500,5,,,,20,25
YE17272312400,,,5,,,5
YE17272600100,5,,,,,5
YE17272410500,,,5,,,5
YE17272110500,5,,,,,5
YE17272111000,,,5,,,5
YE17272810500,5,,,,,5
YE17272812700,,,5,,,5
YE17242211300,5,,,,,5
YE17242211000,,,5,,,5
YE17242111800,5,,,,,5
YE17242110100,5,,,,,5
YE17242310100,5,,5,,,10
YE17242310400,,,5,,,5
YE17242310200,,,5,,,5
YE17242310600,,,5,,,5
YE17292510600,,,5,,,5
YE17292210800,,,5,,,5
YE17292711300,,,10,,,10
YE17282411400,,,5,,,5
YE17282410500,,,5,,,5
YE17152100130,,,5,,,5
YE17282100130,,,5,,,5
YE17282100140,,,5,,,5
YE17282100101,20,,,,,20
YE17022513400,,,5,,,5
YE17022110200,,,5,,,5
YE17282100150,,,5,,,5
YE17052100101,,,5,,,5
YE17052110500,,,10,,,10
YE17112110100,,,5,,,5
YE17112311000,5,,,,,5
YE17112411300,5,,,,,5
YE17112410300,,,5,,,5
YE17112411400,,,,,10,10
YE17112411800,5,,,,5,10
YE17112410400,5,,,,,5
YE17112511400,5,,,,,5
YE17112512200,,,5,,,5
YE17112210800,,,5,,,5
YE17112211100,,,5,,,5
YE17222410100,,,5,,,5
YE17222211900,5,,,,,5
YE17222610700,,,5,,,5
YE17222610100,5,,,,,5
YE17222111100,5,,,,,5
YE17222112100,5,,,,,5
YE17222110100,,,5,,,5
YE17222111200,5,,,,,5
YE17222111800,,,5,,,5
YE17222111900,,,5,,,5
YE17182610100,5,,,,,5
YE17182310900,,,10,,,10
YE17182410800,5,,,,,5
YE17182410100,,,5,,,5
YE17182110600,,,5,,,5
YE17182100101,5,,,,,5
YE17092210300,5,,,,,5
YE17092310400,,,5,,,5
YE17092110600,,,5,,,5
YE17092110300,,,5,,,5
YE17092110700,,,5,,,5
YE17092510200,5,,,,,5
YE17092410100,5,,,,,5
YE17092411000,5,,,,,5
YE17092410200,,,5,,,5
YE17072911400,,,,,5,5
YE17072910200,5,,,,,5
YE17072912000,,,5,,,5
YE17072310900,,,5,,,5
YE17072210700,,,,,5,5
YE17072210500,,,,,5,5
YE17072112100,,,5,,,5
YE17072111700,,,5,,,5
YE17072810200,10,,,,,10
YE17072810500,5,,,,,5
YE17072811700,,,5,,,5
YE17072811600,5,,,,,5
YE17072511100,,,,,5,5
YE17072510400,,,,,5,5
YE17202310800,5,,,,5,10
YE17202310400,5,,,,,5
YE17202310500,,,,,5,5
YE17202311600,,,,,5,5
YE17202511200,,,5,,,5
YE17202510800,,,5,,,5
YE17202411200,,,5,,,5
YE17202411300,5,,,,,5
YE17202410800,,,5,,,5
YE17202110600,5,,,,,5
YE17202111200,,,5,,,5
YE17032210100,20,,5,,,25
YE17032210300,5,,,,,5
YE17022100130,,,5,,,5
YE17032110100,,,5,,,5
YE17062211900,,,10,,,10
YE17062211600,5,,,,,5
YE17062210200,,,5,,,5
YE17062211700,5,,5,,,10
YE17062211800,,,5,,,5
YE17062110500,5,,,,,5
YE17062111500,5,,,,,5
YE17062111200,5,,,,,5
YE17262310100,,,5,,,5
YE17262311100,,,5,,,5
YE17262411000,15,,10,,,25
YE17262510100,5,,,,,5
YE17132211100,,,5,,,5
YE17132211500,,,,,5,5
YE17132310500,5,,,,,5
YE17132114100,,,,,5,5
YE17132113000,5,,,,,5
YE17132111700,,,5,,,5
YE17132113800,,,5,,,5
YE17132113600,,,,,5,5
YE17132110500,,,5,,,5
YE17132113400,,,5,,,5
YE17132410300,5,,,,,5
YE17132410800,5,,,,,5
YE17312110600,5,,,,,5
YE17312116700,,,5,,,5
YE17312110500,,,5,,,5
YE17312115000,,,5,,,5
YE17312110200,5,,,,,5
YE17312110700,5,,,,,5
YE17312114500,,,5,,,5
YE17312114600,10,,,,,10
YE17192311500,,,5,,,5
YE17192112700,,,5,,,5
YE17192110200,20,,,,,20
YE17192111500,,,5,,,5
YE17232310500,,,5,,,5
YE17232310300,5,,,,,5
YE17232510200,5,,,,,5
YE17232610400,5,,,,,5
YE17232110200,,,10,,,10
YE17232410300,5,,,,,5
YE17302416600,5,,,,,5
YE17302411900,,,5,,,5
YE17302311700,,,5,,,5
YE17302311000,5,,,,,5
YE17302312100,5,,,,,5
YE17302113200,5,,5,,,10
YE17302118200,5,,,,,5
YE17302112400,,,5,,,5
YE17302112800,,,5,,,5
YE17032100130,,,5,,,5
YE11192100130,,,5,,,5
YE11192100101,35,0,0,65,45,145
YE11192410900,,,5,,,5
YE11192210300,5,,,,,5
YE11072110700,5,,,,,5
YE11072111000,5,,5,,,10
YE11072210200,,,5,,,5
YE11072212000,,,5,,,5
YE11072810500,,,5,,,5
YE11072410900,,,5,,,5
YE11073011300,5,,,,,5
YE11072912100,5,,,,,5
YE11182110700,,,5,,,5
YE11192100140,,,5,,,5
YE11182300150,,,5,,,5
YE11182300160,,,5,,,5
YE11182300102,15,,,,35,50
YE11182300170,,,5,,,5
YE11182210400,5,,,,15,20
YE11182210200,5,,,,,5
YE11013110100,,,5,,,5
YE11013510700,,,5,,,5
YE11012310300,,,5,,,5
YE11012310900,,,5,,,5
YE11012311600,5,,,,,5
YE11012611000,5,,,,,5
YE11012610800,5,,,,,5
YE11013410200,,,5,,,5
YE11113410700,,,5,,,5
YE11112810400,5,,,,,5
YE11113210100,,,5,,,5
YE11112300101,10,,,,,10
YE11114010100,5,,,,,5
YE11112510100,5,,,,,5
YE11114110700,,,5,,,5
YE11042511000,,,5,,,5
YE11042610500,,,5,,,5
YE11042411300,,,5,,,5
YE11042110800,,,5,,,5
YE11042710400,5,,,,,5
YE11042700101,5,,,,,5
YE11043410300,5,,,,,5
YE11042810100,5,,,,,5
YE11042210100,5,,,,,5
YE11042910500,,,5,,,5
YE11032411200,,,5,,,5
YE11032100101,5,,,,25,30
YE11032110100,5,,,,,5
YE11032110700,5,,,,,5
YE11032710600,,,5,,,5
YE11032312900,,,5,,,5
YE11032310200,,,5,,,5
YE11032313000,,,5,,,5
YE11032311700,5,,,,,5
YE11143210400,5,,,,,5
YE11143210500,5,,,,,5
YE11143110300,5,,,,,5
YE11143010100,,,5,,,5
YE11143310400,,,5,,,5
YE11142110200,,,,,5,5
YE11142410100,,,,,5,5
YE11142410500,,,,,5,5
YE11142410600,,,5,,,5
YE11142810100,,,5,,,5
YE11142310900,5,,,,,5
YE11142610300,,,5,,,5
YE11062512600,,,5,,,5
YE11062511600,5,,,,,5
YE11062411100,,,5,,,5
YE11063210300,5,,5,,,10
YE11063210100,5,,,,,5
YE11062910400,,,5,,,5
YE11062810400,,,5,,,5
YE11062210400,,,,,10,10
YE11062100101,5,,,,,5
YE11062111500,,,,,10,10
YE11152411200,,,5,,,5
YE11152410700,5,,5,,,10
YE11153210300,,,5,,,5
YE11152310400,,,5,,,5
YE11152311300,5,,,,,5
YE11153011600,5,,5,,,10
YE11152110500,5,,,,,5
YE11152910100,5,,,,,5
YE11052100101,5,,,,,5
YE11052112000,,,5,,,5
YE11052810100,5,,,,,5
YE11052610300,5,,,,,5
YE11052711200,,,5,,,5
YE11052710500,5,,,,,5
YE11052410700,,,5,,,5
YE11052410500,,,5,,,5
YE11132911300,5,,,,,5
YE11132800101,5,,,,,5
YE11132710200,5,,,,,5
YE11132110500,,,,,5,5
YE11132110400,,,5,,,5
YE11132510300,5,,,,,5
YE11132610100,5,,,,,5
YE11132611200,,,5,,,5
YE11132611500,,,5,,,5
YE11132410700,,,5,,,5
YE11132310100,,,5,,,5
YE11133310400,,,,,10,10
YE11163010500,,,5,,,5
YE11162510100,5,,,,,5
YE11182300180,,,5,,,5
YE11163600201,20,,,,,20
YE11163610200,5,,,,,5
YE11162411400,,,5,,,5
YE11163711500,5,,,,,5
YE11102210300,,,5,,,5
YE11102411300,5,,,,,5
YE11102410900,,,5,,,5
YE11102110400,,,5,,,5
YE11102110200,,,5,,,5
YE11102510500,5,,,,,5
YE11102710600,5,,,,,5
YE11102710900,,,5,,,5
YE11093910100,5,,,,,5
YE11093010300,5,,,,,5
YE11092910300,,,,,5,5
YE11092910500,,,,,10,10
YE11093610200,5,,5,,,10
YE11093110300,,,5,,,5
YE11092111500,,,5,,,5
YE11092611000,,,5,,,5
YE11092610500,,,5,,,5
YE11083310100,5,,,,,5
YE11083910400,5,,,,,5
YE11083810200,,,5,,,5
YE11082410800,,,5,,,5
YE11082410600,,,5,,,5
YE11082610200,,,5,,,5
YE11083210200,5,,,,,5
YE11083710800,5,,,,,5
YE11083710100,,,5,,,5
YE11083510100,5,,,,,5
YE11202411800,,,5,,,5
YE11202411500,5,,,,,5
YE11203410800,,,5,,,5
YE11203110600,5,,,,,5
YE11202311200,,,5,,,5
YE11202310700,5,,,,,5
YE11202310900,5,,,,,5
YE11202912800,5,,,,,5
YE11122110300,,,5,,,5
YE11122710600,,,5,,,5
YE11122711100,,,5,,,5
YE11123010400,5,,,,,5
YE11122610900,,,5,,,5
YE11122610800,5,,,,,5
YE11163600130,,,5,,,5
YE11123100101,15,,,,,15
YE11172910300,5,,,,,5
YE11172910200,5,,,,,5
YE11173210300,5,,,,,5
YE11173210500,,,5,,,5
YE11173310100,,,5,,,5
YE11172210400,,,5,,,5
YE11172410100,5,,,,,5
YE11172510400,,,10,,,10
YE11172710700,5,,,,,5
YE11023113200,,,5,,,5
YE11023010900,,,5,,,5
YE11022200301,5,,,,,5
YE11022310100,5,,,,,5
YE11123100130,,,5,,,5
YE11022100101,15,,,,,15
YE25012318500,5,,,,,5
YE25012211300,5,,,,,5
YE25012320900,5,,,,,5
YE25012200101,5,,,,,5
YE25012317000,,,5,,,5
YE25012119300,,,5,,,5
YE25012312600,,,5,,,5
YE25142100101,15,,,,135,150
YE25142100111,,,5,,,5
YE25142100125,,,5,,,5
YE25142100107,,,5,,,5
YE25142100113,,,5,,,5
YE25132156110,5,,,,,5
YE25132149110,5,,,,,5
YE25132150110,,,,,20,20
YE25132165110,,,,,5,5
YE25132112800,,,5,,,5
YE25132180700,,20,,190,,210
YE25132237400,,,5,,,5
YE25132128000,5,,,,,5
YE25132217900,5,,,,,5
YE25132243110,,,5,,,5
YE25032217300,5,,,,,5
YE25032220400,5,,,,,5
YE25032123800,,,5,,,5
YE25032122400,,,5,,,5
YE25032111100,5,,5,,,10
YE25032122200,,,5,,,5
YE25122810400,,,5,,,5
YE25123510100,,,5,,,5
YE25123611200,10,,,,,10
YE25124010400,5,,,,,5
YE25122310200,5,,,,,5
YE25122310400,,,5,,,5
YE25124210400,5,,,,,5
YE25082225400,,,,,15,15
YE25082112100,,,5,,,5
YE25082115700,,,5,,,5
YE25082127100,,,5,,,5
YE25082100101,5,,,,,5
YE25082116600,5,,,,,5
YE25082114600,5,,,,,5
YE25082229500,,,5,,,5
YE25092221900,5,,,,,5
YE25092226900,,,5,,,5
YE25092227300,,,5,,,5
YE25092223900,,,5,,,5
YE25092110100,5,,,,5,10
YE25092114600,,,5,,,5
YE25092110400,5,,,,,5
YE25092110800,,,,,5,5
YE25092110200,,,,,5,5
YE25102156100,5,,5,,,10
YE25102110500,5,,,,,5
YE25102112900,5,,,,,5
